"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g410",163.716375848379,-1.52610131188353,0.388893975726124,-3.92420918589462,8.70151022651945e-05,0.000755469580179355
"g1546",330.645713758091,1.21695931572717,0.310454821572726,3.91992403133636,8.85768855666372e-05,0.000765105445226106
"g1724",2073.79732564452,1.14282388284207,0.292729322125383,3.90402941032526,9.46042769256641e-05,0.00081302051185355
"g138",834.899294405203,1.06817630383067,0.273908417194906,3.89975713331433,9.62892273389445e-05,0.000823321524670874
"g274",3571.78214185657,-2.70714514270872,0.695020842539293,-3.89505605733783,9.81760217717429e-05,0.000835236205324425
"g1351",733.440444860721,1.22490538921707,0.314752182260401,3.89165018784105,9.95647269223451e-05,0.000842815413397651
"g337",35.3582244462501,2.0630111935303,0.530313772146495,3.89017087974176,0.000100173656473551,0.000843751245819508
"g262",28.4060182658584,3.27349489310818,0.841878392560101,3.88832273406338,0.000100939351271038,0.000845991691593403
"g1015",3364.51748623482,1.30841316605952,0.336855403125234,3.88419824625192,0.000102668113139172,0.00085624194849566
"g1313",228.035677959031,-1.39663111231991,0.359784114646023,-3.88185874658196,0.000103661087013715,0.000860285393697157
"g1716",51.9947635035682,-3.19084703544838,0.822647683166904,-3.87875283762393,0.000104993363961028,0.000865159300194145
"g1919",291.782604297225,-1.1834210793472,0.305153949681497,-3.8781116239275,0.000105270416916712,0.000865159300194145
"g905",91.6140291708349,2.39330247192543,0.620764226252909,3.85541300659674,0.000115534410751951,0.000941336414634426
"g1533",434.901915954812,-2.17831833619644,0.565201447040696,-3.85405654497484,0.000116176745596685,0.000941336414634426
"g338",462.830247942654,-1.43041065470897,0.371150418518967,-3.85399176004397,0.000116207507772354,0.000941336414634426
"g699",326.636632429627,-1.67723772652475,0.435797224711927,-3.84866546048669,0.000118763066744215,0.000953201346139738
"g1274",4436.10176430065,-1.51104470588573,0.392622647304601,-3.84859283146101,0.000118798277634663,0.000953201346139738
"g1656",11.3277010755611,-4.27142319850927,1.11221129898861,-3.8404781558985,0.000122794899113709,0.000979503356494412
"g976",27.1288057588787,-4.49795386104283,1.17146327521411,-3.83960296170678,0.000123233440598529,0.000979503356494412
"g1812",1222.0652363153,-1.08706750285717,0.283261456141556,-3.83768239302533,0.000124200977770186,0.000982580632546378
"g838",1936.28534279875,-1.15571037591458,0.301529137545891,-3.83283149788033,0.000126676726092479,0.000997505568718918
"g275",1379.87055051422,-1.55037320983044,0.405663485718849,-3.82182095359934,0.000132469858992261,0.00103450891389776
"g579",1163.96853264664,-1.9557761921495,0.51177127965329,-3.8215825504598,0.00013259801199989,0.00103450891389776
"g1976",262.298966017521,-1.89562312587552,0.498178476103454,-3.80510844366923,0.000141742076435161,0.00110077676791159
"g1981",82.5187018553504,-1.93206649317587,0.509278625475878,-3.7937317541464,0.00014839999108982,0.00114722002244322
"g1520",177.289822054906,-2.6021376950594,0.686670711696449,-3.78949859188068,0.000150951667089338,0.00116164169264659
"g1104",815.178028909207,-1.91987042579722,0.506827646396686,-3.78801440577804,0.000151856046586754,0.00116331351525508
"g1913",85.3610596461478,-1.56931927276144,0.415964084827552,-3.7727278147392,0.000161472413265242,0.0012314089894507
"g516",818.007898495892,1.35346612335764,0.358952779980496,3.77059657660592,0.000162857761670694,0.00123640444174208
"g1237",189.836629064732,3.25878453185356,0.865532874216764,3.76506153484059,0.000166508071275543,0.00125847394941738
"g420",310.543793771661,-1.37304881827044,0.365608404334019,-3.75551765767406,0.000172983563893893,0.0013016052163216
"g1683",963.049072651795,-2.60381618152821,0.69457789290725,-3.74877491512087,0.000177700476957072,0.0013311810065855
"g1867",3621.44226061632,-1.23927741300387,0.330884960656483,-3.74534221967997,0.000180148038329057,0.00134357105238367
"g249",349.721200525241,1.28901046791252,0.344268732093323,3.74419849306297,0.000180970547224261,0.00134378568618717
"g321",892.386007753026,1.1157114119055,0.298955114838224,3.73203653835879,0.000189937942145,0.00140421369454797
"g894",446.717568459795,1.68827370783604,0.453906619372078,3.71942958261229,0.000199673203765541,0.00146931942784029
"g1866",11.5364562032114,5.11940999799396,1.37677366009522,3.7184107645115,0.000200480087319024,0.00146931942784029
"g534",747.862258731515,1.1663825425063,0.314256174794566,3.71156602815769,0.00020598091992784,0.0014957544126185
"g1925",111.978191764011,-3.12690635183568,0.842652313796204,-3.71079067919337,0.000206612898231842,0.0014957544126185
"g352",439.187051263409,-1.5566995995763,0.419523422171457,-3.71063811293016,0.000206737467544436,0.0014957544126185
"g566",2823.08014123178,-2.22130176820825,0.598817638197064,-3.70947952517933,0.000207685751042423,0.00149622117665882
"g681",831.509727006629,3.9514801747721,1.06579805157369,3.70753180580278,0.00020928913752531,0.00150138351623029
"g1224",384.359336026265,1.10056899952905,0.297590260759057,3.69826954928516,0.000217074305277041,0.00155066159845582
"g1123",317.122292728423,-1.38695049916039,0.376094477584169,-3.68777150908842,0.000226226651265711,0.00160925092686071
"g97",100.252346254072,3.05404879912966,0.828853299671092,3.68466748016999,0.000229001407271423,0.00162217314857958
"g1246",22.3400098529046,4.56215186001269,1.24219396515807,3.67265659629263,0.000240041962026797,0.00169329600713069
"g1624",375.693140201959,-1.1312928860731,0.308492758987722,-3.66716188018575,0.000245257538508938,0.00172290876637191
"g1365",24.1866225909323,-2.81223172602632,0.767874033687558,-3.6623607553457,0.000249901595516006,0.0017482785173909
"g69",97.6903943610987,-1.96480844945282,0.538891142905632,-3.64602104769959,0.000266332171147096,0.00185555706070796
"g1962",55.5902140462332,-2.24333513089755,0.616771213878075,-3.63722411231244,0.000275592127763361,0.00191220275534168
"g64",923.193398948785,1.03727973752091,0.285288536512809,3.63589701219677,0.000277014995914933,0.00191423015544482
"g1800",677.165102305166,-1.98044073467758,0.545028540541212,-3.63364592377311,0.000279444284705089,0.00192316737400697
"g259",9927.39197394277,2.94632139174477,0.812743987617688,3.62515310679937,0.0002887903070206,0.00197944125419383
"g1090",228.298677686883,1.18197207026304,0.327259690038457,3.61172520246581,0.000304166782487364,0.00207332317483565
"g204",8.30425658557845,6.58544660530068,1.8236829625969,3.61106987363807,0.000304936485844109,0.00207332317483565
"g1396",1073.72284861266,-1.70947164292228,0.474180247893374,-3.60510934505791,0.0003120215261912,0.00211300977536681
"g1634",2342.95884546799,1.34323651293332,0.373011992067866,3.60105450092052,0.000316929124664296,0.00213055679083981
"g220",12.1984649928887,3.56835348704112,0.990964268889893,3.60089016230473,0.000317129540042311,0.00213055679083981
"g1144",546.504768181001,1.16045815526559,0.322443858784655,3.59894637050787,0.000319509064468122,0.00213805868041317
"g754",111.340891054101,-2.10687717099565,0.590431233842898,-3.56837011701222,0.000359208844934782,0.00239425423021491
"g1098",392.732004722578,-2.33237656468628,0.65601909731465,-3.55534857785945,0.000377478296120662,0.00250615982483247
"g911",1080.81230444456,1.54259059077385,0.434301021613555,3.55189261365925,0.000382470919685027,0.00252938776182325
"g1323",14.908939208924,3.27012933270392,0.922615480039198,3.54441194999784,0.000393489909753205,0.00258253975074208
"g1512",460.286476090599,-1.37120151765416,0.386867955159756,-3.54436571798231,0.000393558922440317,0.00258253975074208
"g1837",297.043551886555,-1.88078718169895,0.531510832484495,-3.53856792138627,0.000402303767779293,0.00262973080637198
"g691",201.869604620243,-2.12284288710036,0.600151356238672,-3.53717918827152,0.000404425180215005,0.00263343011578463
"g531",142.319240824771,-2.76919920993373,0.784051286152839,-3.53191080588818,0.000412568487655729,0.00266820782500899
"g1259",81.0246153980345,-1.99664027409457,0.565350329391821,-3.5316867618039,0.000412918163114208,0.00266820782500899
"g992",326.825932106694,-1.63850863974134,0.464315562250676,-3.52886866810795,0.000417340189321919,0.00268652829095821
"g1346",337.650782974005,1.53414819678276,0.435056678473858,3.52631800105776,0.000421380673677244,0.00270226318384687
"g632",1423.32274005609,-1.00591220733073,0.285447147128871,-3.52398760137753,0.000425104140461155,0.00271585399924806
"g465",6164.57597636793,-1.87745900608875,0.533204386372707,-3.52108694915427,0.000429781665416023,0.00273541488552378
"g904",527.643523936653,1.10394742601903,0.314144154513776,3.51414282314975,0.000441175537307056,0.00279741642195073
"g240",389.638299095245,-1.94421720227374,0.553750640422512,-3.51099765914546,0.000446428329526215,0.00282016105182046
"g687",347.440192110378,-2.22304397664396,0.633388378975427,-3.50976438854146,0.000448503922421804,0.00282274029985173
"g1058",134.118898749281,1.43335507314519,0.411645776254458,3.48201088369522,0.000497663464580578,0.00312053424272192
"g1392",243.204493863625,-1.45851509479192,0.419091002572072,-3.48018708547936,0.000501063757753516,0.00313026177814281
"g1791",1185.88964883964,1.13932915266116,0.327776868787407,3.47592908821188,0.000509086876411079,0.00316869147707337
"g461",6.17443412152039,6.15787797689501,1.77275439643108,3.47362160787308,0.000513484616048946,0.00317658970949548
"g1395",155.773055636771,-2.08340754817772,0.59983591295591,-3.47329578502723,0.000514108434968554,0.00317658970949548
"g1003",853.576342746331,1.16403554747269,0.335320452647202,3.47141231106889,0.00051772839203284,0.003187324246224
