"GO.ID","Term","Annotated","Significant","Expected","Fisher","padj"
"GO:0009845","seed germination",10,4,2.86,0.3135,0.986233576642336
"GO:0010218","response to far red light",10,4,2.86,0.3135,0.986233576642336
"GO:0021700","developmental maturation",10,4,2.86,0.3135,0.986233576642336
"GO:0034655","nucleobase-containing compound catabolic...",10,4,2.86,0.3135,0.986233576642336
"GO:0042325","regulation of phosphorylation",10,4,2.86,0.3135,0.986233576642336
"GO:0043549","regulation of kinase activity",10,4,2.86,0.3135,0.986233576642336
"GO:0045859","regulation of protein kinase activity",10,4,2.86,0.3135,0.986233576642336
"GO:0048609","multicellular organismal reproductive pr...",10,4,2.86,0.3135,0.986233576642336
"GO:0090351","seedling development",10,4,2.86,0.3135,0.986233576642336
"GO:2000241","regulation of reproductive process",10,4,2.86,0.3135,0.986233576642336
"GO:0048869","cellular developmental process",66,21,18.9,0.3188,0.986233576642336
"GO:0033993","response to lipid",46,15,13.17,0.3211,0.986233576642336
"GO:0071495","cellular response to endogenous stimulus",46,15,13.17,0.3211,0.986233576642336
"GO:0000154","rRNA modification",7,3,2,0.3217,0.986233576642336
"GO:0000280","nuclear division",7,3,2,0.3217,0.986233576642336
"GO:0002252","immune effector process",7,3,2,0.3217,0.986233576642336
"GO:0006402","mRNA catabolic process",7,3,2,0.3217,0.986233576642336
"GO:0006473","protein acetylation",7,3,2,0.3217,0.986233576642336
"GO:0007399","nervous system development",7,3,2,0.3217,0.986233576642336
"GO:0009832","plant-type cell wall biogenesis",7,3,2,0.3217,0.986233576642336
"GO:0010087","phloem or xylem histogenesis",7,3,2,0.3217,0.986233576642336
"GO:0010380","regulation of chlorophyll biosynthetic p...",7,3,2,0.3217,0.986233576642336
"GO:0018394","peptidyl-lysine acetylation",7,3,2,0.3217,0.986233576642336
"GO:0022008","neurogenesis",7,3,2,0.3217,0.986233576642336
"GO:0031167","rRNA methylation",7,3,2,0.3217,0.986233576642336
"GO:0042176","regulation of protein catabolic process",7,3,2,0.3217,0.986233576642336
"GO:0043401","steroid hormone receptor signaling pathw...",7,3,2,0.3217,0.986233576642336
"GO:0043543","protein acylation",7,3,2,0.3217,0.986233576642336
"GO:0044089","positive regulation of cellular componen...",7,3,2,0.3217,0.986233576642336
"GO:0045732","positive regulation of protein catabolic...",7,3,2,0.3217,0.986233576642336
"GO:0045926","negative regulation of growth",7,3,2,0.3217,0.986233576642336
"GO:0046165","alcohol biosynthetic process",7,3,2,0.3217,0.986233576642336
"GO:0048469","cell maturation",7,3,2,0.3217,0.986233576642336
"GO:0048764","trichoblast maturation",7,3,2,0.3217,0.986233576642336
"GO:0048765","root hair cell differentiation",7,3,2,0.3217,0.986233576642336
"GO:0065002","intracellular protein transmembrane tran...",7,3,2,0.3217,0.986233576642336
"GO:0065004","protein-DNA complex assembly",7,3,2,0.3217,0.986233576642336
"GO:0071383","cellular response to steroid hormone sti...",7,3,2,0.3217,0.986233576642336
"GO:0071483","cellular response to blue light",7,3,2,0.3217,0.986233576642336
"GO:0071490","cellular response to far red light",7,3,2,0.3217,0.986233576642336
"GO:0071491","cellular response to red light",7,3,2,0.3217,0.986233576642336
"GO:0071806","protein transmembrane transport",7,3,2,0.3217,0.986233576642336
"GO:0080147","root hair cell development",7,3,2,0.3217,0.986233576642336
"GO:1901463","regulation of tetrapyrrole biosynthetic ...",7,3,2,0.3217,0.986233576642336
"GO:1903311","regulation of mRNA metabolic process",7,3,2,0.3217,0.986233576642336
"GO:0000271","polysaccharide biosynthetic process",23,8,6.59,0.3251,0.989434782608696
"GO:0071396","cellular response to lipid",23,8,6.59,0.3251,0.989434782608696
"GO:0009409","response to cold",33,11,9.45,0.3317,1
"GO:0048583","regulation of response to stimulus",53,17,15.18,0.3321,1
"GO:0006486","protein glycosylation",20,7,5.73,0.3387,1
"GO:0010498","proteasomal protein catabolic process",20,7,5.73,0.3387,1
"GO:0043413","macromolecule glycosylation",20,7,5.73,0.3387,1
"GO:0009651","response to salt stress",30,10,8.59,0.3452,1
"GO:0009790","embryo development",30,10,8.59,0.3452,1
"GO:0048827","phyllome development",30,10,8.59,0.3452,1
"GO:0051276","chromosome organization",40,13,11.45,0.346,1
"GO:0022607","cellular component assembly",57,18,16.32,0.3534,1
"GO:0048731","system development",115,35,32.93,0.3579,1
"GO:0050790","regulation of catalytic activity",27,9,7.73,0.3599,1
"GO:0097305","response to alcohol",27,9,7.73,0.3599,1
"GO:0006950","response to stress",177,53,50.68,0.361,1
"GO:0009057","macromolecule catabolic process",64,20,18.32,0.3611,1
"GO:0006066","alcohol metabolic process",14,5,4.01,0.3706,1
"GO:0042546","cell wall biogenesis",14,5,4.01,0.3706,1
"GO:0071669","plant-type cell wall organization or bio...",14,5,4.01,0.3706,1
"GO:1901698","response to nitrogen compound",14,5,4.01,0.3706,1
"GO:0090304","nucleic acid metabolic process",168,50,48.1,0.3897,1
"GO:0009734","auxin-activated signaling pathway",11,4,3.15,0.3901,1
"GO:0009896","positive regulation of catabolic process",11,4,3.15,0.3901,1
"GO:0010073","meristem maintenance",11,4,3.15,0.3901,1
"GO:0010114","response to red light",11,4,3.15,0.3901,1
"GO:0016042","lipid catabolic process",11,4,3.15,0.3901,1
"GO:0044087","regulation of cellular component biogene...",11,4,3.15,0.3901,1
"GO:0045892","negative regulation of DNA-templated tra...",11,4,3.15,0.3901,1
"GO:0046677","response to antibiotic",11,4,3.15,0.3901,1
"GO:0051094","positive regulation of developmental pro...",11,4,3.15,0.3901,1
"GO:0071489","cellular response to red or far red ligh...",11,4,3.15,0.3901,1
"GO:0071555","cell wall organization",31,10,8.88,0.3905,1
"GO:0010467","gene expression",182,54,52.11,0.3933,1
"GO:0009555","pollen development",21,7,6.01,0.3938,1
"GO:0009639","response to red or far red light",21,7,6.01,0.3938,1
"GO:0070085","glycosylation",21,7,6.01,0.3938,1
"GO:0006396","RNA processing",55,17,15.75,0.4009,1
"GO:0099402","plant organ development",55,17,15.75,0.4009,1
"GO:0005976","polysaccharide metabolic process",28,9,8.02,0.408,1
"GO:0043933","protein-containing complex organization",45,14,12.88,0.4091,1
